"tayren","طايرين"
"amshyha","امشيها"
"bte3rfehom","بتعرفيهم"
"ensen","انسان"
"fekra","فكره"
"dayer","داير"
"tn9ah","تنصح"
"bt3mlo","بتعملو"
"ta5wet","تخويت"
"yn3ad","ينعاد"
"bhb6","بهبط"
"d7k","ضحك"
"mo7trmh","محترمه"
"mdrstk","مدرستك"
"b2balhum","بأبلهم"
"a8tne3","اقتنع"
"9a7ba","صاحبه"
"9ba7ha","صباحها"
"thanawi","ثانوي"
"mojod","موجود"
"3mltoha","عملتوها"
"6beb","طبيب"
"23amlhom","اعاملهم"
"yo8ef","يوقف"
"e3malele","اعمليلي"
"yhmahom","يحميهم"
"slato","صلاتو"
"lma3loma","المعلومه"
"da7ktne","ضحكتني"
"blmwdu3","بالموضوع"
"else3r","السعر"
"a3'any","اغاني"
"2shta8tlk","اشتقتلك"
"yet5ala","يتخلى"
"3ajbk","عاجبك"
"haltek","حالتك"
"eleltahabat","الالتهابات"
"eljo3","الجوع"
"8arato","قرأته"
"n3'l","نغل"
"b2alf","بألف"
"helmy","حلمي"
"tlft","تلفت"
"atzkrtene","اتزكرتيني"
"tejmil","تجميل"
"y8n3ni","يقنعني"
"btfs8n","بتفسقن"
"mstlm","مستلم"
"t3bto","تعبتو"
"marfouda","مرفوضه"
"lad5al","لأدخل"
"dawa","دوا"
"kondrah","كندره"
"3aj2a","عجئه"
"lnkeef","لنكيف"
"y5l3","يخلع"
"m6leh","مطليه"
"lw7dk","لوحدك"
"wy2drna","ويأدرنا"
"m3lish","معلش"
"bad7ak","بضحك"
"sa7","صح"
"alwusta","الواسطه"
"eltlfon","التلفون"
"3'w6n","غوطن"
"9nober","صنوبر"
"bdbr","بدبر"
"bfker","بفكر"
"darajeh","دارجه"
"b6ne","بطني"
"thahab","ذهب"
"yshm","يشم"
"hmhom","همهم"
"tnsone","تنسوني"
"a$ofkn","اشوفكن"
"ysabrne","يصبرني"
"2eshe","اشي"
"bdane","بدنيا"
"ajaneb","اجانب"
"hmam","حمام"
"$o8km","شوقكم"
"elakel","الاكل"
"8rayb","قريب"
"lhjthom","لهجتهم"
"btnzl$","بتنزلش"
"bhda","بهدا"
"ashtri","اشتري"
"tawator","توتر"
"bl2rgelh","بالارجليه"
"okolshi","اوكلشي"
"bakheffesh","بخفش"
"halla2","هلأ"
"baroka","باروكه"
"mat7awli","ماتحولي"
"ne7dar","نحضر"
"l7y","الحي"
"z3tr","زعتر"
"wa3een","واعيين"
"tshrfena","تشرفينا"
"el5sraneh","الخسرانه"
"habobti","حبوبتي"
"ybkaw","يبكوا"
"wahadha","واحدها"
"m95na","مصخنا"
"mostfze","مستفزه"
"mlzg","ملزق"
"el7ali","الحالي"
"5lshom","خلصهم"
"bt5abe","بتخبي"
"hbal","هبل"
"4b7ni","ذبحني"
"m3'a9ne","مغصني"
"tdan","تدان"
"byrslo","بيرسلو"
"yktob","يكتب"
"az3'ar","اصغر"
"btjl6ni","بتجلطني"
"dady5h","داديخه"
"5alagu","خلقه"
"s7or","سحور"
"zdtni","زدتني"
"bs8ot","بسقط"
"e3a8a","اعاقه"
"sharedna","شردنا"
"mt7fna","متحفنا"
"sre3a","سريعه"
"mrat","مرات"
"9borah","صبوره"
"al3'era","الغيره"
"amoula","اموله"
"ba5abe9","بخبص"
"7redeet","حرضت"
"zaken","زاكين"
"bt7boha","بتحبوها"
"26rm","اطرم"
"wala","والله"
"la78o","لحقو"
"6beee3i","طبيعي"
"aklk","اكلك"
"yahfedh","يحفظه"
"tnk","تنك"
"thblkom","تهبلكم"
"elmao6'o3","الموظوع"
"naymh","نايمه"
"7ket","حكيت"
"fokna","فكنا"
"koon","كون"
"6najer","طناجر"
"2lbt","ألبت"
"bt9'a7ek","بتضحك"
"taygoulo","تايقولوا"
"na3ma","نعمه"
"raza8tana","رزقتنا"
"ilyom","اليوم"
"3'ere","غيري"
"2tz7lgo","اتزحلقو"
"thabatat","ثابتات"
"l7alk","لحالك"
"m863","مقطع"
"almohem","المهم"
"el5of","الخوف"
"ab3tlha","ابعثلها"
"elhndsat","الهندسات"
"bt86'ab","بتقظب"
"btgadmo","بتقدموا"
"waf8","وافق"
"6na","طنه"
"9a7btna","صاحبتنا"
"bmwa9'e3","بمواضيع"
"b5tarha","بختارها"
"jremh","جريمه"
"en7aol","انحول"
"ba3rfo","بعرفو"
"twny","توني"
"ablin","أبلين"
"fkrtkm","فكرتكم"
"t8t3hom","تقطعهم"
"jozi","جوزي"
"gheer","غير"
"fadetilak","فاضيتلك"
"fhemti","فهمتي"
"tshofene","تشوفيني"
"benasbek","بيناسبك"
"wi4a","واذا"
"8rib","قريب"
"l8ollo","لقوله"
"hilwa","حلوه"
"5urafy","خورافي"
"mahdoum","مهضوم"
"ashbah","اشبه"
"brj3le","برجعلي"
"milado","ميلادو"
"ygeth","يغث"
"a7kelo","احكيلو"
"sabaya","صبايا"
"d5an","دخان"
"es3ed","اسعد"
"argslk","ارقصلك"
"albak","البك"
"r7tlhm","رحتلهم"
"2slak","اسلاك"
"hamzah","حمزه"
"tf79","تفحص"
"lfasel","الفاصل"
"l2hlek","لأهلك"
"a5alehom","اخليهم"
"5shomha","خشومها"
"traitor","طرطور"
"thdar","تحضر"
"sarli","صارلي"
"e7koli","احكولي"
"8a9de","قصدي"
"ymshi","يمشي"
"btswak","بتسواك"
"bt5wef","بتخوف"
"wadi","وادي"
"wggft","وقفت"
"thlajtkom","ثلاجتكم"
"net3asha","نتعشى"
"fr7ni","فرحني"
"betjebo","بتجيبو"
"kartona","كرتونه"
"alfojl","الفجل"
"nhke","نحكي"
"2boi","ابوي"
"belzabt","بالزبط"
"mwaf8ah","موفقه"
"hktlk","حكتلك"
"gsa","قصه"
"5le","خلي"
"8lel","قليل"
"en$hrt","انشهرت"
"nat3o","ناتعه"
"2ntabaheet","انتبهت"
"jabk","جابك"
"bkmlk","بكملك"
"kshftni","كشفتني"
"malfof","ملفوف"
"mt4krh","متذكره"
"tzakrtik","تزكرتك"
"a36eni","اعطيني"
"wasef","واصف"
"l8yat","لقيت"
"boklsh","بوكلش"
"b2mlk","بأملك"
"tray7","تريح"
"b3dain","بعدين"
"m$ngleh","مشنقله"
"korhe","كرهي"
"b3zha","بعزها"
"santain","سنتين"
"shtft","شطفت"
"t3lelh","تعليله"
"trthe","ترتاحي"
"bfhm$","بفهمش"
"wdbrt","ودبرت"
"t9rfate","تصرفتي"
"bn9hek","بنصحك"
"tfshlony","تفشلوني"
"tshwesh","تشويش"
"msareke","مصاريكي"
"jana","جنه"
"elnatejeh","النتيجة"
"trabo6","ترابط"
"jam3a","جامعه"
"halsne","هالسنه"
"9'7ek","ضحك"
"t$ofn","تشوفن"
"w$ukrn","وشكرا"
"ma3ani","معاني"
"t3alame","تعلمي"
"3aglak","عقلك"
"elathath","الاثاث"
"btday8i","بتضايقي"
"sheyfin","شايفين"
"3bdr7eem","عبدرحيم"
"28ol","اقول"
"2lm3nwih","المعنويه"
"kefkm","كيفكم"
"3shane","عشاني"
"el6al3a","الطلعه"
"edros","ادرس"
"betsawe","بتسوي"
"m3'aerh","مغيره"
"mory7ah","مريحه"
"na8eb","نقيب"
"el36l","العطل"
"sm7t","سمحت"
"6fshan","طفشان"
"bt8bli","بتقبلي"
"el3abi","العبي"
"23adet","اعادة"
"bjeha","بجيها"
"et3athb","اتعذب"
"afkr","افكر"
"sdgtak","صدقتك"
"blfet","بلفت"
"yfrjha","يفرجها"
"sjad","سجاد"
"l2nhm","لانهم"
"b6lti","بطلتي"
"m3'lwani","مغلواني"
"bnsir","بنسير"
"beda7ek","بضحك"
"2st6e3","أستطيع"
"malana","مالنا"
"2y","اي"
"e3tbro","اعتبرو"
"nnbs6","ننبسط"
"sam3na","سامعنا"
"derase","دراسه"
"sair","صاير"
"8elt","قلة"
"ys3dha","يسعدها"
"bft7o","بفتحه"
"dactor","دكتور"
"insref","انصرف"
"bkhlesh","بخليش"
"elferan","الفيران"
"asawi","اسوي"
"tzbte","تزبطي"
"e7kili","احكيلي"
"walak","ولك"
"s3bah","صعبه"
"arowa","اروى"
"bnmz7sh","بنمزحش"
"msa2ek","مسائك"
"monkr","منكر"
"bedah","بيضه"
"mot3eb","متعب"
"ashhor","اشهر"
"mdarrek","مدريك"
"as2elah","اسئله"
"raghod","رغود"
"3refte","عرفتي"
"gaith","غيث"
"msebti","مصيبتي"
"wa3eyh","واعيه"
"mktob","مكتوب"
"tjebo","تجيبه"
"jism","جسم"
"tmd7","تمدح"
"do3a2","دعاء"
"hemtak","همتك"
"2ltare5","التاريخ"
"mz3","مزع"
"b3shghm","بعشقهم"
"tktobili","تكتبيلي"
"ton$rlek","تنشرلك"
"m3ani","معاني"
"2gdar","اقدر"
"6oloh","طوله"
"5alfyt","خلفية"
"t7melh","تحميله"
"2nkhmd","انخمد"
"wkteer","وكتير"
"5anda8ji","خندقحي"
"alt5t","التخت"
"tare8","طارق"
"23la","اعلى"
"haihom","هيهم"
"tnhf","تنهف"
"2l9ra7ah","الصراحه"
"s7bha","صحبه"
"el7rb","الحرب"
"6ra6e$","طراطيش"
"fesh","فيش"
"mabent","مابينت"
"talej","تلج"
"2a7laki","احلاكي"
"wal","وال"
"loghneyeh","الاغنية"
"btt3bi","بتتعبي"
"b3thatha","بعثتها"
"w9'3hom","وضعهم"
"alkool","الكل"
"hdak","هداك"
"blmjhool","بالمجهول"
"tzor","تزور"
"e$t3'let","اشتغلت"
"tthane","تتهني"
"jwzeha","جوزيها"
"6franen","طفرانين"
"blmwad","بالمواد"
"f3lteh","فعلتيه"
"3or6'","عرض"
"blab","بلاب"
"w7lwh","وحلوه"
"ahlam","احلام"
"$lonko","شلونكو"
"m7koum","محكوم"
"shukran","شكرا"
"yarb","يارب"
"fkena","فكينا"
"shakle","شكلي"
"mar7alet","مرحلة"
"moshagheb","مشاغب"
"3alayena","علينا"
"shalysh","شاليش"
"amt7ano","امتحانو"
"almsa","المسا"
"rne","رني"
"elsad8","الصادق"
"a8rad","اقرد"
"mahsn","محسن"
"elz3'er","الزغير"
"3alek","عليك"
"tbn","تبن"
"bntkm","بنتكم"
"b5o9ne","بخصني"
"a2lb","ائلب"
"3la8at","علاقات"
"el39forah","العصفوره"
"tofla","طفله"
"btzha8en","بتزهقن"
"el6raf","الطرف"
"hoyatk","هوياتك"
"abdullah","عبدالله"
"adri","ادري"
"7drteh","حضرتيه"
"trj3lo","ترجعلو"
"marfo9'ah","مرفوضه"
"8lbo","قلبه"
"2stfr3'","استفرغ"
"jmhor","جمهور"
"3'fet","غفيت"
"merci","ميرسي"
"5yana","خاينه"
"ajy","اجي"
"wbelmonasbeh","وبالمناسبه"
"tktbish","تكتبيش"
"f5ado","فخاده"
"la2inu","لأنه"
"sho'3lk","شغلك"
"ws2lt","وسألت"
"bmzaj","بمزاج"
"btalt","بطلت"
"la2no","لأنه"
"ma7alak","محلاك"
"ellm3ah","اللمعه"
"mwaf2h","موافئه"
"3a$arah","عشره"
"mbaynih","مبينه"
"yak","ياك"
"ashy","اشي"
"mbzar","مبزر"
"8lbha","قلبها"
"yemken","يمكن"
"tamer","تامر"
"kolak","كلك"
"barken","بركن"
"9ware5","صواريخ"
"thlajeh","ثلاجه"
"ba9al","بصل"
"elmdeneh","المدينه"
"tshufi","تشوفي"
"mar7ala","مرحله"
"af6ar","افطارا"
"sb3enat","سبعينات"
"tatgoli","تاتقولي"
"lnkef","لنكيف"
"shdi","شدي"
"la5bar","الاخبار"
"t3mel","تعمل"
"jdedeh","جديده"
"daf3i","دافعي"
"en5mdi","انخمدي"
"damk","دمك"
"bltawjihi","بالتوجيهي"
"znark","زنارك"
"sag6","ساقط"
"elkubeh","الكبه"
"5af","خف"
"ynkd","ينكد"
"7abeto","حابيته"
"3yalha","عيالها"
"wsft","وصفة"
"taw2ami","توأمي"
"b76","بحط"
"mni7","منيح"
"tnaket","تنكت"
"ma3gol","معقول"
"a36e","اعطي"
"6a8eh","طاقيه"
"eywaf2k","أيوفئك"
"hadak","هداك"
"malee7","مليح"
"kwis","كويس"
"4aker","ذكر"
"yaha","ياها"
"fra3'","فراغ"
"btrig","بطريق"
"ile3teraf","الاعتراف"
"wzer","وزير"
"ast3'l","استغل"
"afndee","افندي"
"8a6olh","قاطوله"
"$6eb","شطب"
"dakhlin","داخلين"
"wafe8na","وفقنا"
"2lmet","الميت"
"9afyeh","صافيه"
"muslima","مسلمه"
"lsane","لساني"
"zakrni","زكرني"
"5elene","خليني"
"msh3rak","مشاعرك"
"bs2al","بسأل"
"aswe","اسوي"
"wkaz","وكاز"
"tekno","تكنو"
"jbeno","جبينو"
"bnzen","بنزين"
"elba8arah","البقره"
"bytl3lke","بيطلعلكي"
"almar2a","المرأه"
"blmawdu3","بالموضوع"
"wyaki","وياكي"
"arb3a","اربعا"
"wemha","ويومها"
"27ad","احد"
"t5rfna","تخرفنا"
"elsereh","السيره"
"t5yal","تخيل"
"nn7at","ننحت"
"whwayte","وهوياتي"
"elm$akel","المشاكل"
"zeton","زيتون"
"mz7","مزح"
"m6g3","مطقع"
"5aynen","خاينين"
"ma8barah","مقبره"
"m3lem","معلم"
"78","حق"
"bt5wat","بتخوت"
"elamaken","الاماكن"
"bt3rfnesh","بتعرفنيش"
"el7aram","الحرام"
"3$anek","عشانك"
"ans5ha","انسخها"
"bdri","بدري"
"2lm5rfen","المخرفن"
"5orafyeh","خرافيه"
"e5ta9er","اختصر"
"wenak","وينك"
"jajat","جاجات"
"alklam","الكلام"
"ma3ak","معاك"
"bznn","بزنن"
"7aded","حديد"
"ws5a","وسخه"
"b7wel","بحول"
"2zaha8","ازهق"
"bnbe3","بنبيع"
"9'rori","ضروري"
"bmo7adrt","بمحاضرة"
"bdaom","بداوم"
"defa3","دفاع"
"benkon","بينكون"
"wbosle","وبوسلي"
"a3mlk","اعملك"
"azbl","ازبل"
"wldti","ولدتي"
"elz3lan","الزعلان"
"9arafet","صرفت"
"2jeblek","اجيبلك"
"9aerat","صايرات"
"m8drtek","مقدرتك"
"idriss","ادريس"
"swethm","سويتهم"
"m5leke","مخليكي"
"meiet","مييت"
"yrz8k","يرزقك"
"wllah","والله"
"tsrft","تصرفت"
"bfaker","بفكر"
"2lbes","البس"
"haram","حرام"
"tet8damlk","تتقدملك"
"boktoble","بكتبلي"
"jezankn","جيزانكن"
"testa7mlena","تستحميلنا"
"maroon","مروان"
"mosajel","مسجل"
"$e5","شيخ"
"ga3din","قاعدين"
"lhon","لهون"
"z3alni","زعلانه"
"2sasha","اساسها"
"el3'aliya","الغاليه"
"mazen","مازن"
"2ltly","ألتلي"
"mhaster","مهستر"
"motk","موتك"
"mt2a5r","متأخر"
"26l3le","اطلعلي"
"mzalna","مازلنا"
"$a3'rh","شاغره"
"5arof","خاروف"
"b9s5mo","بصخمو"
"la3nato","لاعنته"
"2sfar","اصفر"
"btshbhni","بتشبهني"
"waraha","وراها"
"mab7bh","مابحبه"
"gsdi","قصدي"
"tl3bi","تلعبي"
"jdid","جديد"
"bt3nelk","بتعنيلك"
"akher","اخر"
"elre8","الريق"
"7akyak","حكيك"
"smrat","سمرات"
"bta3rafoh","بتعرفوه"
"eltarbeh","التربيه"
"bukrah","بكره"
"hdi","هدي"
"benkum","بينكم"
"wselt","وصلت"
"n3mt","نعمت"
"ni8ra2","نقرأ"
"el3res","العريس"
"3nhom","عنهم"
"ynasbek","يناسبك"
"m7dden","محددين"
"shjra","شجره"
"9aro","صارو"
"9aba7","صباح"
"sa3done","ساعدوني"
"elt3reef","التعريف"
"elm8alat","المقالات"
"shb3anen","شبعانين"
"t6b5","تطبخ"
"ismak","اسمك"
"5lfk","خلفك"
"y7wl","يحول"
"nazl","نازل"
"b7alha","بحالها"
"esha3a","اشاعه"
"lina","لينا"
"r8a9h","رقاصه"
"kyfto","كيفتو"
"5dodoh","خدوده"
"astkhdmo","استخدمو"
"3lma$i","عالماشي"
"zoo8","زووق"
"mazbout","مزبوط"
"btbd2","بتبدأ"
"jera7ah","جراحه"
"sha5syeh","شخصيه"
"at5rjt","اتخرجت"
"radet","رضيت"
"brdu","برضو"
"li$","ليش"
"elmokneseh","المكنسه"
"7l8at","حلقات"
"kabsh","كابسه"
"la7keya","الحكايه"
"mnjraab","منجرب"
"bt2der","بتئدر"
"glbha","قلبها"
"daf3ti","دافعتي"
"t7elo","تحلو"
"7alkom","حالكم"
"7adeed","حديد"
"7ilween","حلوين"
"neshar","نسهر"
"97batek","صحباتك"
"bn66","بنطط"
"3'ram","غرام"
"sokh","سوكه"
"bthia2lk","بتهيألك"
"8steh","قستيه"
"dahab","ذهب"
"tmna3eha","تمنعيها"
"fyha","فيها"
"mol3at","مولعات"
"hablh","هبله"
"handaseh","هندسيه"
"jars","جرس"
"aljdeda","الجديده"
"awafe8","اوافق"
"y7fa6'h","يحفظه"
"$wi","شوي"
"l3eh","لعيه"
"7jaj","حجاج"
"3yuno","عيونه"
"yw8f","يوقف"
"yoktlha","يكتلها"
"gloubna","قلوبنا"
"3leki","عليكي"
"7ara","حره"
"3aga3","عقاع"
"lwlaha","لولاها"
"6abeg","طابق"
"b7ddo","بحددوا"
"bn3e$ha","بنعيشها"
"alsob7","الصبح"
"jnnatne","جننتني"
"wzeret","وزيرة"
"alwad7","الواحد"
"b2olak","بئلك"
"shrake","شراكه"
"3shrah","عشره"
"jesh","جيش"
"hketlk","حكيتلك"
"3eyonek","عيونك"
"mlagat","ملقت"
"a3'ra9'","اغراض"
"t3bne","تعبني"
"wlrasma","والرسمه"
"3balk","عبالك"
"damrt","دمرت"
"bt7kili","بتحكيلي"
"alshar","الشر"
"albywt","البيوت"
"mo2db","مأدب"
"tjre7","تجريح"
"bblshu","ببلشو"
"bthy2lk","بتهيألك"
"bedha","بدها"
"sho3ory","شعوري"
"mtl","متل"
"nw3","نوع"
"el6abon","الطبون"
"elzar8a","الزرقا"
"8nat","قناة"
"fya3a","فياعه"
"abrrlk","ابررلك"
"ale","الي"
"elbiet","البيت"
"b59ni","بخصني"
"l5amees","الخميس"
"2zkah","ازكاه"
"2r9'km","ارضكم"
"njibek","نجيبك"
"mn7rf","منحرف"
"ejeti","اجيتي"
"w7$","وحش"
"tlomini","تلوميني"
"ehtrami","احترامي"
"3ajbni","عاجبني"
"6awle","طولي"
"rdi","ردي"
"9ay7","صياح"
"slamt","سلامة"
"$nta","شنته"
"$ar","شر"
"r9a9","رصاص"
"mjbero","مجبره"
"y$dd","يشدد"
"elgames","القميص"
"at3ata","اتعاطى"
"t7bene","تحبيني"
"br3'l","برغل"
"wakelt","وكالة"
"takhedmi","تخدمي"
"majalo","مجالو"
"n$ark","نشارك"
"b3teke","بعطيكي"
"3ebarah","عباره"
"jawabet","جاوبت"
"wlee$","وليش"
"t7koli","تحكولي"
"tsam7o","تسامحو"
"bdweh","بدويه"
"kbrt","كبرت"
"8wm","قوم"
"5alo","خالو"
"26raf","اطراف"
"azn5ha","ازنخها"
"antom","انتم"
"393'r","عصغر"
"3afyei","عافيه"
"maghor","مقهور"
"yhnekom","يهنيكم"
"a5er","اخير"
"rknih","ركنيه"
"nader","نادر"
"tza3'on","تزغون"
"o5tak","اختك"
"akhern","اخيرا"
"w9'7tlko","وضحتلكو"
"b$bk","بشبك"
"bwjeh","بوجه"
"6b3n","طبعا"
"ajwebtak","اجوبتك"
"feye","في"
"3li","علي"
"lab8eetlk","لابقيتلك"
"bngous","بنقص"
"oday","عدي"
"msa3da","مساعده"
"btdrose","بتدرسي"
"ga63te","قطعتي"
"27kelak","احكيلك"
"mbrok","مبروك"
"9f7a","صفحه"
"3awne","عوني"
"dal","ضل"
"7rdk","حرضك"
"9adegi","صديقي"
"a$mo6akm","اشمطكم"
"jbenk","جبينك"
"t3lmtha","تعلمتها"
"l7ssab","الحساب"
"nty","انتي"
"radya","راضيه"
"b$rab","بشرب"
"ytghzl","يتغزل"
"7d","حد"
"$l5ti","شلختي"
"ajtma3i","اجتماعي"
"majnoun","مجنون"
"jbana","جبنا"
"bti8ni","بطيقني"
"jeran","جيرانا"
"54eni","خذيني"
"7ilweh","حلوه"
"wrouh","وروح"
"2sha3a","اشاعه"
"jomle","جمله"
"ya3bd","ياعبد"
"abe3ha","ابيعها"
"ojdeda","اوجديد"
"n7ef","نحيف"
"msha3r","مشاعر"
"ys3dkom","يسعدكم"
"el5atbeh","الخاطبه"
"ariban","أريبا"
"shughul","شغل"
"ustor","يستر"
"at7ml","اتحمل"
"bt3lmni","بتعلمني"
"trj3o","ترجعو"
"malet","مليت"
"akl","اكل"
"2eja","اجا"
"lbsi","لبسي"
"dageega","دقيقه"
"y5srni","يخسرني"
"9m3'","صمغ"
"3'abrh","غبره"
"khayaf","خايف"
"tzbe6","تزبيط"
"ntjm3","نتجمع"
"mt3'yer","متغير"
"afdal","افضل"
"yj3l","يجعل"
"hrisa","هريسه"
"mnkhls","منخلص"
"diriha","ديريها"
"aml3bn","املعبن"
"b5zoo","بخزو"
"bl7ss","بالحصص"
"ebda","ابدا"
"ho6","حط"
"5b9ti","خبصتي"
"b7besh","بحبش"
"samsumo","صمصومه"
"a6afi","اطفي"
"astslm","استسلم"
"7eilw","حيلو"
"a3abi","اعبي"
"ethnkom","اذنكم"
"3anko","عنكوا"
"bshelo","بشيلو"
"efth7","يفضح"
"dmk","دمك"
"sameh","سامح"
"lsatni","لساتني"
"6sha","طشه"
"6b5t","طبخة"
"say8","سايق"
"gader","قادر"
"$a7o6a","شاحوطه"
"bte7kele","بتحكيلي"
"a7md","احمد"
"raqami","رقمي"
"5adejh","خديجه"
"mfa9aleh","مفصله"
"tjik","تجيك"
"saltoo","سألته"
"e5lele","يخليلي"
"jawbt","جاوبت"
"ajetene","اجيتيني"
"t$njat","تشنجت"
"3'ir","غير"
"m2jleh","مأجله"
"maleeon","مليون"
"b3in","بعين"
"bhb","بحب"
"mhri","مهري"
"leash","ليش"
"3umre","عمري"
"y3mlo","يعملو"
"et3arft","اتعرفت"
"bw3dko","بوعدكو"
"m7tajeh","محتاجه"
"aftrna","افطرنا"
"yazon","يزون"
"3alfa9'e","عالفاضي"
"mt3lmih","متعلمه"
"lhba","لهبه"
"bf","بف"
"anz3j","انزعج"
"klmeh","كلمه"
"beshta3'el","بيشتغل"
"mla78a","ملاحقه"
"zyha","زيها"
"whsa","وهسا"
"lkol","الكل"
"nshllah","انشاءالله"
"efd7a","افضحه"
"estdraki","استدراكي"
"mwzyen","موزين"
"m3tbrkn","معتبركن"
"mshkla","مشكله"
"elnta2ej","النتائج"
"m$tren","مشترين"
"$wal","شوال"
"b3t8ed","بعتقد"
"moshkli","مشكله"
"elkom","الكم"
"jnantna","جننتنا"
"mmsk","ممسك"
"3sbyeh","عصبيه"
"salmi","سلمي"
"galk","قلك"
"tsalini","تسليني"
"2l7lwen","الحلوين"
"anbwb","انبوب"
"3leena","علينا"
"t6l3sh","تطلعش"
"$r7atli","شرحتلي"
"btodrose","بتدرسي"
"antbht","انتبهت"
"jayeb","جايب"
"m7lahn","محلاهن"
"mab3rfo","مابعرفو"
"lhala","الحاله"
"j3aber","جعابير"
"mathlan","مثلا"
"makanch","مكانج"
"a7m","احم"
"lo2ai","لؤي"
"9'erofo","ضروفو"
"mobde3ah","مبدعه"
"mofa9'al","مفضل"
"2sma2hom","اسمائهم"
"ne3'esh","نغش"
"fr7y","فرحي"
"i3ne","اعني"
"7asboni","حاسبوني"
"msba7h","مسبحه"
"7elw","حلو"
"$lto","شلتو"
"7awl","حاول"
"2thratak","اتهرتك"
"ne7na","نحنا"
"sahbk","صاحبك"
"shglat","شغلات"
"bel$ta","بالشتاء"
"lelt","ليلة"
"be7ayatek","بحياتك"
"bhst","بحصة"
"khasatan","خاصة"
"el9afa7ah","الصفحه"
"bnst3'ne$","بنستغنيش"
"m$erfeh","مشرفه"
"l2eet","لئيت"
"t7taj","تحتاج"
"as2ltek","اسألتك"
"3alikum","عليكم"
"baskout","بسكوت"
"sjlo","سجلو"
"makel","ماكل"
"t5srehom","تخسريهم"
"bb3ad","ببعد"
"shayfa","شايفه"
"btdrb","بتدرب"
"9odfeh","صدفه"
"llne8a$","للنقاش"
"2nshallah","ان شاء الله"
"wethbtele","وثبتيلي"
"jrabto","جربته"
"sh5setha","شخصيتها"
"3mara","عماره"
"mt3od","متعود"
"khorafe","خرافي"
"yesahel","يسهل"
"wadeha","وديها"
"jayat","جايات"
"7sd","حسد"
"bmaw9'o3","بموضوع"
"2alile","ئليلة"
"btsd8","بتصدق"
"oredo","اريد"
"brtgal","برتقال"
"tnshr","تنشر"
"nchlh","انشالله"
"br8btk","برقبتك"
"dabdoob","دبدوب"
"i3ml","اعمل"
"3ajel","عاجل"
"me$","مش"
"jdeda","جديده"
"b3rafu","بعرفه"
"3ds","عدس"
"3ra7tk","عراحتك"
"day3ni","ضيعني"
"insane","انساني"
"btrkha","بتركها"
"eltawjehi","التوجيهي"
"denk","دينك"
"w9eti","وصيتي"
"lbanda","الباندا"
"mayet","ميت"
"bwrjiki","بورجيكي"
"m7f6'etna","محفظيتنا"
"btna8$i","بتناقشي"
"$oftk","شوفتك"
"btt$r6","بتتشرط"
"mne7a","منيحه"
"tnz3j","تنزعج"
"9'ahry","ظهري"
"tl3t","طلعت"
"b7km","بحكم"
"roo7","رووح"
"rask","راسك"
"denak","دينك"
"y79'ro","يحضرو"
"ashraflak","اشرفلك"
"mkfol","مكفول"
"t7bi","تحبي"
"grabti","قرابتي"
"mnzel","منزل"
"9'roreh","ضروريه"
"tskrhm","تسكرهم"
"9rna","صرنا"
"mwjood","موجود"
"ajebha","اجيبها"
"el2boab","الابواب"
"wr8a","ورقه"
"ml3oneh","ملعونه"
"sa7atli","صحتلي"
"shayfni","شايفني"
"msa7eb","مصاحب"
"majnona","مجنونه"
"kbrna","كبرنا"
"3lmeh","علميه"
"hwawy","هواوي"
"elsejod","السجود"
"nothm","نظم"
"bd5n","بدخن"
"istighfar","استغفار"
"tb3tko","تبعتكوا"
"ykhalik","يخليك"
"7akyek","حكيك"
"at3'ada","اتغدا"
"da3wa","دعوه"
"7sreto","حسرته"
"tawela","طويله"
"leltak","ليلتك"
"yro7sh","يروحش"
"mnazel","منزل"
"teslay","تسألي"
"elmnjmon","المنجمون"
"ansih","انسه"
"tla2e","تلائي"
"za3'rfet","زغرفت"
"bt7sehom","بتحسيهم"
"twfe","توفي"
"b3dha","بعدها"
"nfta7lna","نفتحلنا"
"wuroud","ورود"
"martah","مرتاح"
"ye7be","يحبي"
"gmr","قمر"
"yhmak","يهمك"
"te3raf","تعرف"
"dnya","دنيا"
"twdi","تودي"
"engleze","انجليزي"
"nefra7","نفرح"
"shja3ik","شجعك"
"2o5te","اختي"
"7rkat","حركات"
"a7lamk","احلامك"
"minha","منها"
"btt5wat","بتتخوت"
"wrdat","وردات"
"heba","هبه"
"9r9or","صرصور"
"astnak","استناك"
"bardu","برضو"
"d3wat","دعوات"
"khalini","خليني"
"al2akhr","الأخر"
"8a3ed","قاعد"
"9af9af","صفصف"
"elbakam","البكم"
"mnzleh","منزله"
"ab3tlk","ابعتلك"
"en7arag","انحراج"
"hia","هاي"
"2l3alam","العالم"
"bt9'7ki","بتضحكي"
"bsh3re","بشعري"
"lo3'ah","لغه"
"di3anak","ضيعناك"
"ejtema3","اجتماع"
"ashya2","اشياء"
"hata","حتى"
"mshkle","مشكله"
"r6a","رطه"
"mzaje","مزاجي"
"lmwajah","امواجه"
"b3'yrha","بغيرها"
"moth8fah","مثقفه"
"wslne","وصلني"
"t$t3'leha$","تشتغليهاش"
"nafsk","نفسك"
"5erat","خيرات"
"m39ben","معصبين"
"7akale","حكالي"
"kzbarh","كزبره"
"mohm","مهم"
"8yase","قياسي"
"3ala2","علاء"
"es3d","يسعد"
"lahza","لحزه"
"2t3rf","اتعرف"
